,exp_name,alg_name,filename,iterations,ant_number,capacity,p_factor,solution,rpd
47,cities,aco_both,../data/instances/A-n54-k7.xlsx,1000,3,100,0.8,1356.8448228545135,16.267765454542715
48,cities,aco_basic,../data/instances/A-n54-k7.xlsx,1000,3,100,0.8,1406.8129044850414,20.549520521425997
49,cities,aco_swap,../data/instances/A-n54-k7.xlsx,1000,3,100,0.8,1391.1963793785696,19.211343562859437
50,cities,aco_2_opt,../data/instances/A-n54-k7.xlsx,1000,3,100,0.8,1368.297081366949,17.24910722938723
51,cities,aco_both,../data/instances/A-n54-k7.xlsx,1000,3,100,0.8,1327.5118763754078,13.754231051877278
52,cities,aco_basic,../data/instances/A-n54-k7.xlsx,1000,3,100,0.8,1373.171540240276,17.66679864955236
53,cities,aco_swap,../data/instances/A-n54-k7.xlsx,1000,3,100,0.8,1388.9601067805752,19.019717804676535
54,cities,aco_2_opt,../data/instances/A-n54-k7.xlsx,1000,3,100,0.8,1394.8160837438286,19.521515316523445
55,cities,aco_both,../data/instances/A-n54-k7.xlsx,1000,3,100,0.8,1363.9738993644119,16.878654615630836
56,cities,aco_basic,../data/instances/A-n54-k7.xlsx,1000,3,100,0.8,1428.1312072133726,22.376281680666033
57,cities,aco_swap,../data/instances/A-n54-k7.xlsx,1000,3,100,0.8,1371.0675823860133,17.486510915682377
58,cities,aco_2_opt,../data/instances/A-n54-k7.xlsx,1000,3,100,0.8,1339.6071715607886,14.790674512492599
59,cities,aco_both,../data/instances/A-n54-k7.xlsx,1000,3,100,0.8,1367.045119369826,17.141826852598623
