,exp_name,alg_name,filename,iterations,ant_number,capacity,p_factor,solution,rpd
58,iteration,aco_2_opt,../data/instances/A-n32-k5.xlsx,1000,3,100,0.8,928.9268471,18.48556723
59,iteration,aco_both,../data/instances/A-n32-k5.xlsx,1000,3,100,0.8,879.4718984,12.17753806
60,iteration,aco_basic,../data/instances/A-n32-k5.xlsx,2000,3,100,0.8,907.5159019,15.75457932
61,iteration,aco_swap,../data/instances/A-n32-k5.xlsx,2000,3,100,0.8,932.4916394,18.94026013
62,iteration,aco_2_opt,../data/instances/A-n32-k5.xlsx,2000,3,100,0.8,932.2274902,18.90656763
63,iteration,aco_both,../data/instances/A-n32-k5.xlsx,2000,3,100,0.8,858.6800053,9.525510875
64,iteration,aco_basic,../data/instances/A-n32-k5.xlsx,2000,3,100,0.8,877.394675,11.9125861
65,iteration,aco_swap,../data/instances/A-n32-k5.xlsx,2000,3,100,0.8,934.306151,19.17170294
66,iteration,aco_2_opt,../data/instances/A-n32-k5.xlsx,2000,3,100,0.8,956.9161591,22.05563253
67,iteration,aco_both,../data/instances/A-n32-k5.xlsx,2000,3,100,0.8,843.7545901,7.621758935
68,iteration,aco_basic,../data/instances/A-n32-k5.xlsx,2000,3,100,0.8,974.6371895,24.31596805
69,iteration,aco_swap,../data/instances/A-n32-k5.xlsx,2000,3,100,0.8,958.8694171,22.30477259
70,iteration,aco_2_opt,../data/instances/A-n32-k5.xlsx,2000,3,100,0.8,852.9583129,8.795703172
71,iteration,aco_both,../data/instances/A-n32-k5.xlsx,2000,3,100,0.8,953.5682133,21.62859864
